ts_utc,open,high,low,close,volume
2026-07-13T13:30:00Z,152.6200,159.4000,152.4000,156.8100,8290389
2026-07-13T14:00:00Z,156.8400,160.2899,155.0000,159.0800,4908909
2026-07-13T14:30:00Z,159.0400,162.2800,155.6500,157.0550,4524928
2026-07-13T15:00:00Z,157.1699,158.8500,156.0000,157.5750,2571265
2026-07-13T15:30:00Z,157.5700,157.7400,151.3000,152.9650,5149242
2026-07-13T16:00:00Z,152.9650,154.2500,152.1200,153.1700,2551021
2026-07-13T16:30:00Z,153.1600,155.5726,152.8657,155.3000,2554652
2026-07-13T17:00:00Z,155.2350,157.5600,155.0301,156.7000,2328006
2026-07-13T17:30:00Z,156.7100,157.7700,156.3700,157.1550,1836870
2026-07-13T18:00:00Z,157.1300,158.5500,156.0500,156.1250,2295759
2026-07-13T18:30:00Z,156.1250,156.2400,153.1000,153.6750,2274839
2026-07-13T19:00:00Z,153.6850,155.1700,151.6000,152.2700,2792418
2026-07-13T19:30:00Z,152.4100,154.4900,151.4100,153.5100,4375761
2026-07-14T13:30:00Z,168.1100,172.8300,166.8200,170.4500,13857012
2026-07-14T14:00:00Z,170.4550,170.8000,165.5000,169.4600,5532236
2026-07-14T14:30:00Z,169.5000,175.7900,169.0400,174.8759,4894113
2026-07-14T15:00:00Z,174.9000,182.7600,174.4300,180.9700,7228430
2026-07-14T15:30:00Z,180.9999,181.9600,177.2000,178.6550,4661592
2026-07-14T16:00:00Z,178.6550,187.1500,177.8400,186.9700,5071280
2026-07-14T16:30:00Z,187.0000,187.4800,181.8000,182.5800,3814389
2026-07-14T17:00:00Z,182.5000,185.6600,182.1400,185.0550,2703770
2026-07-14T17:30:00Z,185.0400,186.6000,182.8000,183.8700,2552096
2026-07-14T18:00:00Z,183.8900,189.5000,183.4300,188.5650,2875781
2026-07-14T18:30:00Z,188.5650,189.7000,185.3900,186.2000,3756974
2026-07-14T19:00:00Z,186.4799,189.7000,184.4000,189.0500,3391609
2026-07-14T19:30:00Z,189.0700,194.4500,188.2500,193.9300,6469760
2026-07-15T13:30:00Z,180.0000,185.0000,176.0100,183.9400,16953180
2026-07-15T14:00:00Z,183.9400,187.9499,173.8700,178.5400,10213015
2026-07-15T14:30:00Z,178.5400,178.8000,171.2000,174.6000,6454614
2026-07-15T15:00:00Z,174.8050,176.3400,172.2501,175.3201,4337911
2026-07-15T15:30:00Z,175.3400,176.0665,170.3605,171.1300,3517728
2026-07-15T16:00:00Z,171.0206,171.5400,166.4800,169.1400,5920923
2026-07-15T16:30:00Z,169.1500,173.2700,166.8000,172.8450,3596339
2026-07-15T17:00:00Z,172.8700,176.1900,172.7900,175.4400,3634090
2026-07-15T17:30:00Z,175.4000,176.1800,174.1401,175.9800,2745113
2026-07-15T18:00:00Z,175.9600,180.9100,175.6001,179.8600,4570043
2026-07-15T18:30:00Z,179.8625,180.3400,174.2000,175.4900,3357810
2026-07-15T19:00:00Z,175.4900,177.0400,173.4100,175.4800,2580153
2026-07-15T19:30:00Z,175.5360,176.7750,172.8209,176.6000,4642257
2026-07-16T13:30:00Z,165.9100,168.2000,161.0000,163.9800,10539442
2026-07-16T14:00:00Z,163.8100,166.1574,161.2600,162.6275,4319738
2026-07-16T14:30:00Z,162.5800,164.1800,160.5000,161.9800,2966930
2026-07-16T15:00:00Z,161.9400,162.4900,159.3701,162.0850,3378125
2026-07-16T15:30:00Z,162.0100,163.6300,160.2501,161.4750,2358635
2026-07-16T16:00:00Z,161.5550,176.4600,159.9100,160.3301,3044555
2026-07-16T16:30:00Z,160.3600,161.0000,159.3000,160.5291,1755375
2026-07-16T17:00:00Z,160.4625,160.5400,155.8600,157.4301,3342390
2026-07-16T17:30:00Z,157.4000,157.4900,154.0113,156.6150,2875945
2026-07-16T18:00:00Z,156.6400,157.6999,155.6000,157.1500,2148554
2026-07-16T18:30:00Z,157.1000,157.3500,156.0501,156.4600,1605199
2026-07-16T19:00:00Z,156.4200,156.9900,154.8508,155.8250,3793162
2026-07-16T19:30:00Z,155.8418,157.1600,151.3800,152.6700,8452058
2026-07-17T13:30:00Z,152.1100,157.2800,145.5701,157.1650,17001391
2026-07-17T14:00:00Z,157.0500,162.3300,156.3300,156.9400,8249548
2026-07-17T14:30:00Z,156.9800,158.9800,154.2400,154.6100,4714078
2026-07-17T15:00:00Z,154.6100,157.5600,152.3900,157.3750,3250974
2026-07-17T15:30:00Z,157.4000,164.3199,157.2200,164.1198,5662478
2026-07-17T16:00:00Z,164.1600,167.3700,161.6600,163.1200,5378026
2026-07-17T16:30:00Z,163.0400,164.9200,162.1601,164.6700,2757374
2026-07-17T17:00:00Z,164.7000,165.9300,162.2500,162.4400,2879432
2026-07-17T17:30:00Z,162.9000,163.3000,158.6000,159.4899,2947202
2026-07-17T18:00:00Z,159.4200,162.0700,159.1200,161.7200,2833766
2026-07-17T18:30:00Z,161.6850,162.6200,159.2100,159.2763,3445315
2026-07-17T19:00:00Z,159.2100,159.8299,153.2000,154.3700,5164941
2026-07-17T19:30:00Z,154.4150,155.2600,152.5100,154.0100,6176565
2026-07-20T13:30:00Z,163.3600,163.4120,156.8900,158.4500,10386389
2026-07-20T14:00:00Z,158.3900,159.8000,155.0601,157.3999,3597685
2026-07-20T14:30:00Z,157.3100,157.7480,153.8700,154.1802,2426828
2026-07-20T15:00:00Z,154.2500,157.7500,153.8300,157.0550,2351868
2026-07-20T15:30:00Z,157.0214,158.7400,156.6500,158.1400,1784428
2026-07-20T16:00:00Z,158.1450,159.1000,156.1237,156.5900,1972370
2026-07-20T16:30:00Z,156.5880,157.9200,156.3600,156.9100,1452102
2026-07-20T17:00:00Z,156.9000,157.5000,155.8300,156.4200,1898124
2026-07-20T17:30:00Z,156.4788,157.0900,156.0500,156.6600,1097976
2026-07-20T18:00:00Z,156.8000,157.1200,155.3613,155.4201,961646
2026-07-20T18:30:00Z,155.4300,155.9300,154.1000,154.2900,1366957
2026-07-20T19:00:00Z,154.2300,154.2600,152.7000,152.9000,1969477
2026-07-20T19:30:00Z,152.9000,153.3199,149.7400,151.1600,4718340
2026-07-21T13:30:00Z,161.7800,166.3000,160.5500,163.9500,9842298
2026-07-21T14:00:00Z,163.9400,165.4200,161.7501,165.0950,2864715
2026-07-21T14:30:00Z,165.1300,166.7800,164.2700,166.6750,2136436
2026-07-21T15:00:00Z,166.6750,168.9800,166.4100,168.2500,2589974
2026-07-21T15:30:00Z,168.2000,168.2550,164.5500,164.8850,1967501
2026-07-21T16:00:00Z,164.8050,167.3400,164.7000,166.8000,1720690
2026-07-21T16:30:00Z,166.8150,168.4400,166.3000,167.9200,1390766
2026-07-21T17:00:00Z,167.9250,168.9300,167.5601,168.3914,1361052
2026-07-21T17:30:00Z,168.3450,171.6000,168.3450,171.4700,3178320
2026-07-21T18:00:00Z,171.3600,173.2199,169.5800,170.2100,2459521
2026-07-21T18:30:00Z,170.1300,171.6899,169.8000,170.6750,1440988
2026-07-21T19:00:00Z,170.6100,171.3900,169.3800,169.9300,1812965
2026-07-21T19:30:00Z,169.9400,172.4000,169.6825,171.8647,3440842
2026-07-22T13:30:00Z,162.1610,169.0100,162.0000,168.8100,8917430
2026-07-22T14:00:00Z,168.8350,169.3999,166.3800,167.6707,2490222
